store_id,item_id,method,coverage,avg_interval_width,mean_cost,cvar_90,cvar_95,service_level,total_cost
2,1,MCDropout_LSTM,0.9041095890410958,39.13184345391121,471.3817471936129,740.8789244450992,883.2499072362435,0.8383561643835616,172054.3377256687
2,2,Conformal_CVaR,0.9013698630136986,38.117266417121414,1041.1531762526913,1460.746895992783,1609.4425155011354,0.8986301369863013,380020.9093322323
2,2,Normal_CVaR,0.8986301369863013,37.456120177841285,1039.277559280443,1468.158953866502,1621.1271507078036,0.8904109589041096,379336.3091373617
2,2,SAA,,,1045.588227566018,1446.437086280341,1583.3877694364244,0.9041095890410958,381639.7030615966
2,2,MCDropout_LSTM,0.8904109589041096,152.06848603246405,1191.5491158088535,2094.8234552247404,2415.36157797852,0.8164383561643835,434915.4272702315
2,3,Conformal_CVaR,0.9506849315068493,27.958685215453333,675.2701183124998,861.5470141357414,921.6563089941646,0.936986301369863,246473.59318406243
2,3,Normal_CVaR,0.9534246575342465,27.99004479094939,675.3916055406503,861.4315445291851,921.3409996760646,0.936986301369863,246517.93602233735
2,3,SAA,,,678.2435364233098,860.0566811743494,915.1666947399133,0.9397260273972603,247558.89079450807
2,3,MCDropout_LSTM,0.9397260273972603,82.53717693961293,750.8741444578461,1060.7972962758909,1224.8435832839364,0.863013698630137,274069.06272711384
2,4,Conformal_CVaR,0.9342465753424658,20.897277664959883,431.4819227858464,604.4182835840826,690.8465306586414,0.9342465753424658,157490.90181683394
2,4,Normal_CVaR,0.9342465753424658,20.902404677564476,431.50200479454224,604.402437188844,690.797081221675,0.9342465753424658,157498.23175000792
2,4,SAA,,,440.0180226495083,597.0836957903158,668.638755066113,0.9424657534246575,160606.57826707052
2,4,MCDropout_LSTM,0.9315068493150684,42.22349789971889,479.10621454970413,713.1195045311853,894.7341205887232,0.8849315068493151,174873.76831064202
2,5,Conformal_CVaR,0.936986301369863,20.3426116095107,374.51594928651144,542.4572580917799,633.9733064288994,0.9205479452054794,136698.3214895767
