,coverage,coverage,mean_cost,mean_cost,cvar_90,cvar_90,cvar_95,cvar_95,service_level,service_level
,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,
Conformal_CVaR,0.9291,0.0124,518.9428,238.7601,723.891,331.9524,802.2657,364.196,0.9266,0.015
MCDropout_LSTM,0.9131,0.0196,578.5065,276.4231,924.8717,490.5784,1097.2181,549.9645,0.8617,0.0328
Normal_CVaR,0.9275,0.0138,517.5424,237.1995,726.918,335.3715,808.416,371.6379,0.9237,0.0177
SAA,,,522.4002,238.3509,719.1321,331.2213,791.2783,364.0646,0.9337,0.0134
